0 1.000014 0.000014 -0.295953 0.000175
1 1.000014 0.000014 -0.295953 0.000221
2 1.000013 0.000016 -0.295953 0.000221
3 1.000014 0.000015 -0.295953 0.000202
4 1.000015 0.000011 -0.295953 0.000283
5 1.000017 0.000015 -0.295953 0.000326
6 1.000020 0.000021 -0.295953 0.000349
7 1.000023 0.000021 -0.295953 0.000446
8 1.000024 0.000023 -0.295953 0.000474
9 1.000028 0.000026 -0.295953 0.000524
10 1.000037 0.000030 -0.295953 0.000802
11 1.000075 0.000042 -0.295953 0.001725
12 1.000206 0.000093 -0.295953 0.004821
13 1.000603 0.000257 -0.295953 0.014390
14 1.001733 0.000757 -0.295949 0.041452
15 1.004806 0.002155 -0.295924 0.115329
16 1.013109 0.005949 -0.295737 0.314768
17 1.033872 0.016202 -0.294727 0.813389
18 1.047667 0.039252 -0.293587 1.144785
19 1.049828 0.050161 -0.293382 1.196656
20 1.050130 0.051752 -0.293348 1.203877
21 1.050164 0.051967 -0.293345 1.204736
22 1.050166 0.051991 -0.293345 1.204772
23 1.050162 0.051991 -0.293345 1.204696
24 1.050152 0.051987 -0.293346 1.204444
25 1.050140 0.051977 -0.293347 1.204144
26 1.050129 0.051964 -0.293348 1.203919
27 1.050122 0.051951 -0.293349 1.203757
28 1.050115 0.051937 -0.293350 1.203597
29 1.050105 0.051923 -0.293351 1.203379
30 1.050093 0.051910 -0.293352 1.203069
31 1.050082 0.051896 -0.293353 1.202764
32 1.050071 0.051882 -0.293354 1.202492
33 1.050060 0.051869 -0.293356 1.202223
34 1.050047 0.051855 -0.293357 1.201934
35 1.050032 0.051841 -0.293358 1.201588
36 1.050015 0.051828 -0.293360 1.201196
37 1.050001 0.051814 -0.293361 1.200852
38 1.049989 0.051801 -0.293363 1.200553
39 1.049978 0.051787 -0.293364 1.200278
40 1.049967 0.051773 -0.293365 1.200014
41 1.049956 0.051760 -0.293366 1.199751
42 1.049945 0.051746 -0.293367 1.199484
43 1.049933 0.051732 -0.293368 1.199206
44 1.049921 0.051719 -0.293369 1.198910
45 1.049907 0.051705 -0.293371 1.198590
46 1.049891 0.051691 -0.293373 1.198221
47 1.049871 0.051678 -0.293375 1.197736
48 1.049844 0.051664 -0.293378 1.197057
49 1.049821 0.051650 -0.293380 1.196500
50 1.049799 0.051630 -0.293382 1.196017
51 1.049749 0.051605 -0.293387 1.194886
52 1.049603 0.051545 -0.293402 1.191394
53 1.049198 0.051363 -0.293444 1.181587
54 1.048101 0.050857 -0.293554 1.155299
55 1.045166 0.049508 -0.293833 1.084738
56 1.037275 0.045886 -0.294489 0.895245
57 1.017125 0.036148 -0.295667 0.411363
58 1.002366 0.013486 -0.295952 0.056858
59 0.999991 0.001625 -0.295952 -0.000205
60 0.999654 -0.000131 -0.295952 -0.008270
61 0.999608 -0.000372 -0.295952 -0.009494
62 0.999604 -0.000407 -0.295952 -0.009586
63 0.999605 -0.000411 -0.295952 -0.009537
64 0.999606 -0.000407 -0.295952 -0.009515
65 0.999608 -0.000403 -0.295952 -0.009456
66 0.999612 -0.000399 -0.295952 -0.009379
67 0.999615 -0.000395 -0.295952 -0.009239
68 0.999618 -0.000391 -0.295952 -0.009129
69 0.999622 -0.000387 -0.295952 -0.009057
70 0.999625 -0.000384 -0.295952 -0.008990
71 0.999629 -0.000380 -0.295952 -0.008910
72 0.999633 -0.000376 -0.295952 -0.008789
73 0.999641 -0.000372 -0.295952 -0.008601
74 0.999648 -0.000368 -0.295952 -0.008441
75 0.999653 -0.000363 -0.295952 -0.008332
76 0.999658 -0.000359 -0.295951 -0.008199
77 0.999662 -0.000354 -0.295951 -0.008097
78 0.999666 -0.000350 -0.295951 -0.007997
79 0.999670 -0.000345 -0.295951 -0.007897
