202 103367 22132 81235 323200
203 103835 22244 81591 324800
204 104281 22358 81923 326400
205 104741 22470 82271 328000
206 105213 22586 82627 329600
207 105669 22698 82971 331200
208 106167 22810 83357 332800
209 106665 22922 83743 334400
210 107169 23034 84135 336000
211 107673 23146 84527 337600
212 108165 23260 84905 339200
213 108657 23372 85285 340800
214 109155 23484 85671 342400
215 109653 23600 86053 344000
216 110139 23712 86427 345600
217 110619 23822 86797 347200
218 111099 23936 87163 348800
219 111563 24048 87515 350400
220 112041 24160 87881 352000
221 112501 24274 88227 353600
222 112961 24386 88575 355200
223 113421 24502 88919 356800
224 113835 24614 89221 358400
225 114307 24726 89581 360000
226 114767 24838 89929 361600
227 115227 24950 90277 363200
228 115699 25062 90637 364800
229 116159 25176 90983 366400
230 116625 25288 91337 368000
231 117085 25400 91685 369600
232 117545 25516 92029 371200
233 117993 25628 92365 372800
234 118444 25738 92706 374400
235 118874 25854 93020 376000
236 119310 25966 93344 377600
237 119758 26078 93680 379200
238 120212 26192 94020 380800
239 120672 26304 94368 382400
240 121084 26420 94664 384000
241 121456 26534 94922 385600
242 121830 26644 95186 387200
243 122182 26756 95426 388800
244 122534 26866 95668 390400
245 122898 26976 95922 392000
246 123258 27090 96168 393600
247 123642 27202 96440 395200
248 124044 27314 96730 396800
249 124434 27432 97002 398400
250 124836 27542 97294 400000
251 125232 27650 97582 401600
252 125616 27764 97852 403200
253 126018 27876 98142 404800
254 126426 27988 98438 406400
255 126834 28102 98732 408000
256 127254 28214 99040 409600
257 127674 28330 99344 411200
258 128078 28444 99634 412800
259 128490 28556 99934 414400
260 128878 28670 100208 416000
261 129266 28782 100484 417600
262 129684 28894 100790 419200
263 130092 29008 101084 420800
264 130500 29120 101380 422400
265 130908 29232 101676 424000
266 131316 29348 101968 425600
267 131724 29460 102264 427200
268 132144 29572 102572 428800
269 132552 29688 102864 430400
270 132960 29800 103160 432000
271 133368 29912 103456 433600
272 133764 30026 103738 435200
273 134160 30130 104030 436800
274 134568 30240 104328 438400
275 134976 30342 104634 440000
276 135390 30436 104954 441600
277 135792 30530 105262 443200
278 136124 30616 105508 444800
279 136456 30698 105758 446400
280 136788 30790 105998 448000
281 137144 30888 106256 449600
282 137520 30988 106532 451200
283 137896 31098 106798 452800
284 138272 31212 107060 454400
285 138660 31324 107336 456000
286 139048 31438 107610 457600
287 139442 31550 107892 459200
288 139830 31668 108162 460800
289 140218 31794 108424 462400
290 140606 31918 108688 464000
291 140982 32036 108946 465600
292 141370 32156 109214 467200
293 141758 32274 109484 468800
294 142146 32392 109754 470400
295 142534 32510 110024 472000
296 142928 32626 110302 473600
297 143298 32738 110560 475200
298 143674 32850 110824 476800
